"Add Account","Agregar cuenta"
"Relist Item(s) on TikTok Shop","Volver a listar artículo(s) en la TikTok Shop"
"Stop Item(s) on TikTok Shop","Detener artículo(s) en TikTok Shop"
"Remove from TikTok Shop / Remove from Listing","Eliminar de la TikTok Shop / Eliminar del anuncio"
"Manage Variations","Gestión de variaciones"
"""%task_title%"" task has completed with warnings. <a target=""_blank"" href=""%url%"">View Log</a> for details.","La tarea ""%task_title%"" se ha completado con advertencias. <a target=""_blank"" href=""%url%"">Ver registro</a> para más detalles."
"""%task_title%"" task has completed with errors. <a target=""_blank"" href=""%url%"">View Log</a> for details.","La tarea ""%task_title%"" se ha completado con errores. <a target=""_blank"" href=""%url%"">Ver registro</a> para más detalles."
"""%task_title%"" task has completed.","la tarea ""%task_title%"" se ha completado."
"Listing Selected Items On TikTok Shop","Listado de artículos seleccionados en la TikTok Shop"
"Revising Selected Items On TikTok Shop","Revisión de artículos seleccionados en la TikTok Shop"
"Relisting Selected Items On TikTok Shop","Nueva lista de artículos seleccionados en la TikTok Shop"
"Stopping Selected Items On TikTok Shop","Parada de artículos seleccionados en la TikTok Shop"
"Removing from TikTok Shop And Removing From Listing Selected Items","Eliminación de la TikTok Shop y eliminación de la lista de artículos seleccionados"
"Removing From Listing Selected Items","Eliminar de la lista los artículos seleccionados"
"This Log contains information about the actions applied to M2E TikTok Shop Connect Listings and related Items.","Este registro contiene información sobre las acciones aplicadas a los anuncios de M2E TikTok Shop Connect y a los artículos relacionados."
"This Log contains information about your recent TikTokShop orders for which Magento orders were not created.<br/><br/>Find detailed info in <a href=""%url%"" target=""_blank"">the article</a>.","Este registro contiene información sobre sus pedidos recientes de TikTok Shop para los cuales no se crearon pedidos en Magento.<br/><br/>Encuentre información detallada en <a href=""%url%"" target=""_blank"">el artículo</a>."
"This Log contains information about Order processing.<br/><br/>Find detailed info in <a href=""%url"" target=""_blank"">the article</a>.","Este registro contiene información sobre el procesamiento de pedidos.<br/><br/>Encuentre información detallada en <a href=""%url"" target=""_blank"">el artículo</a>."
"<p>In this section, you can find the list of the Orders imported from TikTok Shop.</p><p>An TikTok Shop Order, for which Magento Order is created, contains a value in <strong>Magento Order #</strong> column of the grid. You can find the corresponding Magento Order in Sales > Orders section of your Magento</p><br><p>To manage the imported TikTok Shop Orders, you can use Mass Action options available in the Actions bulk: Reserve QTY, Cancel QTY Reserve, Mark Order(s) as Shipped or Paid and Resend Shipping Information.</p><br><p>Also, you can view the detailed Order information by clicking on the appropriate row of the grid.</p><br><p><strong>Note:</strong> Automatic creation of Magento Orders, Invoices, and Shipments is performed in accordance with the Order settings specified in <br> <strong>Account Settings (TikTok Shop Integration > Configuration > Accounts)</strong>. </p>","<p>En esta sección, puedes encontrar la lista de los pedidos importados desde TikTok Shop.</p><p>Un pedido de TikTok Shop, para el cual se crea un pedido en Magento, contiene un valor en la columna <strong># de Pedido de Magento</strong> de la cuadrícula. Puedes encontrar el pedido correspondiente en la sección Ventas > Pedidos de tu Magento.</p><br><p>Para gestionar los pedidos importados de TikTok Shop, puedes utilizar las opciones de Acción Masiva disponibles en el menú de acciones: Reservar Cantidad, Cancelar Reserva de Cantidad, Marcar Pedido(s) como Enviado o Pagado y Reenviar Información de Envío.</p><br><p>Además, puedes ver la información detallada del pedido haciendo clic en la fila correspondiente de la cuadrícula.</p><br><p><strong>Nota:</strong> La creación automática de pedidos, facturas y envíos de Magento se realiza de acuerdo con la configuración de pedidos especificada en <br> <strong>Configuración de Cuenta (Integración de TikTok Shop > Configuración > Cuentas)</strong>.</p>"
"Order importing in progress.","Importación de pedidos en progreso."
"Order importing is canceled.","Se cancela la importación de pedidos."
"Order Settings","Ajustes de pedido"
"Order Address Information","Información de la Dirección del Pedido"
"Buyer Name","Nombre del comprador"
"Buyer Email","Email del Comprador"
"Recipient Name","Nombre Destinatario"
"Street Address","Dirección postal"
"Region/State","Región/Estado"
"Zip/Postal Code","Zip/Codigo postal"
"Telephone","Teléfono"
"Sale Date","Fecha de la venta"
"Ship By Date","Enviar por fecha"
"TikTokShop Order #","TikTokShop Pedido #"
"Items","Artículos"
"Buyer","Comprador"
"Total Paid","Total pagado"
"Order Cancellation","Pedidos Cancelados"
"Reserve QTY","Reserva QTY"
"Cancel QTY Reserve","Cancelar reserva QTY"
"Mark Order(s) as Shipped","Marcar pedido(s) como enviado"
"Resend Shipping Information","Reenviar información de envío"
"Create Magento Order","Crear pedido de Magento"
"Deleted","Eliminado"
"Cancellation Requested","Cancelación Solicitada"
"View Full Order Log","Ver registro de pedidos completo"
"Pending","Pendiente"
"Unshipped","No enviados"
"Shipped","Enviado"
"Canceled","Cancelado"
"Mark as Shipped","Marcar como enviado"
"Are you sure that you want to create new Magento Order?","¿Está seguro que desea crear un nuevo pedido de Magento?"
"Invalid Reason for Cancellation","Razón no válida para la cancelación"
"Product Delivery is on Schedule","La entrega del producto se ajusta a los plazos"
"Reached an Agreement With the Buyer","Alcanzado un acuerdo con el comprador"
"Product Has Been Packed","El producto ha sido embalado"
"Add Note","Agregar Nota"
"Custom Note","Nota personalizada"
"Original Price","Precio original"
"TikTok Original Price","Precio original de TikTok"
"Seller Discount","Descuento del vendedor"
"Tax Percent","Porcentaje de impuestos"
"Row Total","Fila Total"
"Link to Magento Product","Enlace al producto Magento"
"Set Options","Configurar opciones"
"Unlink","Desvincular"
"Out Of Stock","Agotado"
"<p>This Page displays the list of the Policies you are currently using in your Listings. Policy is a combination of settings that can be used in different Listings.</p><br><p>You can <strong>Delete</strong> a Policy only if it's not being used for Listing.</p>","<p>Esta página muestra la lista de las Políticas que actualmente estás utilizando en tus Listados. Una Política es una combinación de configuraciones que puede ser utilizada en diferentes Listados.</p><br><p>Solo puedes <strong>Eliminar</strong> una Política si no está siendo utilizada para ningún Listado.</p>"
"Add Policy","Agregar política"
"Add Category","Agregar categoría"
"Update Category Data","Actualizar datos de categoría"
"Item Specifics cannot have the same Labels.","Las especificaciones del artículo no pueden tener las mismas etiquetas."
"Product Certificates","Certificados de producto"
"Category Attributes","Atributos de Categoría"
"TikTok Shop Recommended","TikTok Shop Recomendada"
"Custom Attribute","Atributo personalizado"
"Saved Categories","Categorías guardadas"
"Browse","Navegar"
"This category is invite-only. Please reach out to your account manager or contact TikTok Shop support for permission to access this category, or select another category that is available.","Esta categoría es sólo por invitación. Póngase en contacto con el administrador de su cuenta o con el servicio de asistencia de la TikTok Shop para obtener permiso para acceder a esta categoría, o seleccione otra categoría que esté disponible."
"Category ID","ID de Categorías"
"Attributes: Total","Atributos: Total"
"Attributes: Used","Atributos: Usado"
"Product Attributes","Atributos del producto"
"Images","Imágenes"
"Main Image","Imagen principal"
"Product Base Image","Imagen base de producto"
"Up to","Hasta"
"Gallery Images","Galería de imágenes"
"Product Images","Imágenes de Producto"
"Adds small thumbnails that appear under the large Base Image. You can add up to 8 additional photos to each Listing on TikTok Shop. <br/><b>Note:</b> Text, Multiple Select or Dropdown type Attribute can be used. The value of Attribute must contain absolute urls. <br/>In Text type Attribute urls must be separated with comma.<br/>e.g. http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg","Agrega pequeñas miniaturas que aparecen debajo de la imagen base grande. Puedes agregar hasta 8 fotos adicionales a cada Listado en TikTok Shop. <br/><b>Nota:</b> Se pueden utilizar atributos de tipo Texto, Selección Múltiple o Desplegable. El valor del atributo debe contener Urls absolutas. <br/>En los atributos de tipo Texto, las Urls deben estar separadas por comas.<br/>por ejemplo: http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg"
"Resize Image","Redimensionar Imagen"
"M2E will automatically resize Product Images to meet TTS media requirements before synchronizing them to the channel","M2E redimensionará automáticamente las Imágenes de Producto para cumplir con los requisitos de medios TTS antes de sincronizarlas con el canal"
"This is the Title that Buyers will see on TikTok Shop. A good Title ensures better visibility.","Este es el Título que los Compradores verán en la TikTok Shop. Un buen título asegura una mejor visibilidad."
"Title Value","Valor del título"
"Preview","Vista previa"
"Choose whether to use Magento <strong>Product Description</strong> or <strong>Product Short Description</strong> for the TikTok Listing Description.","Elige si deseas usar la <strong>Descripción del Producto</strong> o la <strong>Descripción Corta del Producto</strong> para la Descripción del Listado en TikTok."
"Product Description","Descripción del producto"
"Product Short Description","Descripción breve del producto"
"View / Edit Custom Description","Ver / Editar Descripción Personalizada"
"Insert Customs","Insertar aduana"
"Description Value","Valor de descripción"
"Adding Image","Añadir imagen"
"Custom Insertions","Inserciones personalizadas"
"Show Editor","Mostrar editor"
"Hide Editor","Ocultar editor"
"Description Preview","Descripción Vista previa"
"Please enter a valid Magento product ID.","Por favor, introduzca un ID de producto Magento válido."
"Please enter Description Value.","Por favor, introduzca el valor de descripción."
"TikTok Shop Price","Tienda TikTok Precio"
"If you would like to preview the Description data for the particular Magento Product, please, provide its ID into the <strong>Magento Product ID</strong> input and select a <strong>Magento Store View</strong> the values should be taken from. As a result you will see the Item Description which will be sent to TikTok Shop basing on the settings you specified.<br />Also, you can press a <strong>Select Randomly</strong> button to allow M2E TikTok Shop Connect to automatically select the most suitable Product for its previewing.","Si deseas previsualizar los datos de la Descripción para un Producto específico de Magento, por favor, proporciona su ID en el campo <strong>ID del Producto Magento</strong> y selecciona una <strong>Vista de Tienda Magento</strong> de la cual se tomarán los valores. Como resultado, verás la Descripción del Artículo que se enviará a TikTok Shop, basándose en las configuraciones que especificaste.<br />Además, puedes presionar el botón <strong>Seleccionar Aleatoriamente</strong> para permitir que M2E TikTok Shop Connect seleccione automáticamente el Producto más adecuado para su vista previa."
"Select Randomly","Seleccionar aleatoriamente"
"Magento Product ID","ID de producto Magento"
"Select Product","Seleccione producto"
"View Random Product","Ver producto aleatorio"
"Enter Product Id","Introducir Id de Producto"
"Add %template_name Policy","Añadir %template_name Política"
"Duplicate","Duplicar"
"<br/><b>Note:</b> All changes you have made will be automatically applied to all M2E TikTok Shop Connect Listings where this Policy is used.","<br/><b>Nota:</b> Todos los cambios que hayas realizado se aplicarán automáticamente a todos los Listados de M2E TikTok Shop Connect donde se utilice esta Política."
"Policy Title is not unique.","El título de la política no es único."
"Do not show this message anymore","No volver a mostrar este mensaje"
"Save Policy","Guardar política"
"Quantity","Cantidad"
"Product Quantity","Cantidad producto"
"The number of Items you want to sell on TikTok Shop.<br/><br/><b>Product Quantity:</b> the number of Items on TikTok Shop will be the same as in Magento.<br/><b>Custom Value:</b> set a Quantity in the Policy here.<br/><b>Magento Attribute:</b> takes the number from the Attribute you specify.","El número de artículos que deseas vender en TikTok Shop.<br/><br/><b>Cantidad del Producto:</b> la cantidad de artículos en TikTok Shop será la misma que en Magento.<br/><b>Valor Personalizado:</b> establece una cantidad en la política aquí.<br/><b>Atributo de Magento:</b> toma el número del atributo que especifiques."
"Quantity Value","Valor de cantidad"
"Quantity Percentage","Cantidad Porcentaje"
"Sets the percentage for calculation of Items number to be Listed on TikTok Shop basing on Product Quantity or Magento Attribute. E.g., if Quantity Percentage is set to 10% and Product Quantity is 100, the Quantity to be Listed on TikTok Shop will be calculated as <br/>100 *10% = 10.<br/>","Establece el porcentaje para el cálculo del número de artículos que se deben listar en TikTok Shop basado en la cantidad de productos o en un atributo de Magento. Por ejemplo, si el porcentaje de cantidad se establece en 10% y la cantidad del producto es 100, la cantidad que se listará en TikTok Shop se calculará como <br/>100 * 10% = 10.<br/>"
"Conditional Quantity","Cantidad condicional"
"Choose whether to limit the amount of Stock you list on TikTok Shop, eg because you want to set some Stock aside for sales off TikTok Shop.<br/><br/>If this Setting is <b>Enabled</b> you can specify the maximum Quantity to be Listed. If this Setting is <b>Disabled</b> all Stock for the Product will be Listed as available on TikTok Shop.","Elige si deseas limitar la cantidad de stock que listás en TikTok Shop, por ejemplo, porque quieres reservar parte del stock para ventas fuera de TikTok Shop. <br/><br/>Si esta configuración está <b>Habilitada</b>, puedes especificar la cantidad máxima que se listará. Si esta configuración está <b>Deshabilitada</b>, todo el stock del producto se listará como disponible en TikTok Shop."
"Minimum Quantity to Be Listed","Cantidad mínima a ser listada"
"If you have 2 pieces in Stock but set a Minimum Quantity to Be Listed of 5, Item will not be Listed on TikTok Shop.<br/> Otherwise, the Item will be Listed with Quantity according to the Settings in the Selling Policy","Si tienes 2 piezas en Stock pero configuras una Cantidad Mínima para Listar de 5, el Artículo no se Listará en TikTok Shop.<br/> De lo contrario, el Artículo se Listará con la Cantidad según las Configuraciones en la Política de Venta"
"Maximum Quantity to Be Listed","Cantidad máxima a ser listada"
"Set a maximum number to sell on TikTok Shop, e.g. if you have 10 Items in Stock but want to keep 2 Items back, set a Maximum Quantity of 8.","Establezca un número máximo para vender en la TikTok Shop, por ejemplo, si tiene 10 Artículos en Stock pero quiere mantener 2 Artículos de vuelta, establezca una Cantidad Máxima de 8."
"Delivery","Entrega"
"Cash on delivery","Contra reembolso"
"Wrong value. Must be no more than 30. Max applicable length is 6 characters, including the decimal (e.g., 12.345).","Valor incorrecto. No debe ser mayor a 30. La longitud máxima aplicable es de 6 caracteres, incluyendo el decimal (por ejemplo, 12.345)."
"Price Change is not valid.","El cambio de precio no es válido."
"Wrong value. Only integer numbers.","Valor incorrecto. Sólo números enteros."
"% of Price","% del Precio"
"Add Price Change","Añadir cambio de precio"
"Must be greater than ""Min"".","Debe ser mayor que ""Min""."
"Inconsistent Settings in Relist and Stop Rules.","Ajustes incoherentes en las reglas Relist y Stop."
"You need to choose at least one Time for the schedule to run.","Debe elegir al menos una Hora para que se ejecute la programación."
"You should specify time.","Debes especificar el tiempo."
"Wrong value.","Valor incorrecto."
"Must be greater than ""Active From"" Date.","Debe ser mayor que la fecha de ""Activo Desde""."
"Must be greater than ""From Time"".","Debe ser mayor que ""Desde el Tiempo""."
"List Rules","Lista de Reglas"
"Revise Rules","Revisar Reglas"
"Relist Rules","Reglas Relist"
"Stop Rules","Parar Reglas"
"<p><strong>List Action</strong> - this Action can be executed for each Item in M2E TikTok Shop Connect Listings which has <strong>Not Listed</strong> Status and which Settings meet the List Condition. If an Item was not initially Listed for some reason, automatic synchronization will attempt to list it again only if there is a change of Product Status, Stock Availability or Quantity in Magento.</p><br><p><strong>Note:</strong> M2E TikTok Shop Connect Listings Synchronization must be enabled in Synchronization <strong>(TikTok Shop Integration > Configuration > Settings > Synchronization)</strong>. Otherwise, Synchronization Policy Rules will not take effect.</p><br><p>More detailed information about how to work with this Page you can find <a href=""%url"" target=""_blank"" class=""external-link"">here</a>.</p>","<p><strong>Acción de listado</strong> - esta acción puede ejecutarse para cada artículo en las listas de M2E TikTok Shop Connect que tenga el estado <strong>No listado</strong> y cuyas configuraciones cumplan con la condición de listado. Si un artículo no fue inicialmente listado por alguna razón, la sincronización automática intentará listarlo nuevamente solo si hay un cambio en el estado del producto, la disponibilidad de stock o la cantidad en Magento.</p><br><p><strong>Nota:</strong> La sincronización de listas de M2E TikTok Shop Connect debe estar habilitada en Sincronización <strong>(TikTok Shop Integration > Configuración > Ajustes > Sincronización)</strong>. De lo contrario, las reglas de la política de sincronización no tendrán efecto.</p><br><p>Más información detallada sobre cómo trabajar con esta página puedes encontrar <a href=""%url"" target=""_blank"" class=""external-link"">aquí</a>.</p>"
"List Action","Listar acción"
"List Conditions","Condiciones de la lista"
"Product Status","Estado del producto"
"<p><strong>Enabled:</strong> List Items on TikTok Shop automatically if they have status Enabled in Magento Product. (Recommended)</p><p><strong>Any:</strong> List Items with any Magento Product status on TikTok Shop automatically</p>","<p><strong>Activado:</strong> Lista de artículos en TikTok tienda automáticamente si tienen el estado habilitado en el producto Magento. (Recomendado)</p><p><strong>Any:</strong> Lista de artículos con cualquier estado de producto de Magento en TikTok tienda automáticamente</p>"
"<b>In Stock:</b> List Items automatically if Products are in Stock. (Recommended.)<br/><b>Any:</b> List Items automatically, regardless of Stock availability.","<b>En Stock:</b> Lista de artículos automáticamente si los productos están en stock. (Recomendado.)<br/><b>Any:</b> Lista de artículos automáticamente, independientemente de la disponibilidad de stock."
"More or Equal","Más o Igual"
"<p><strong>Any:</strong> List Items automatically with any Quantity available.</p><p><strong>More or Equal:</strong> List Items automatically if the Quantity according to the Selling Policy is at least equal to the number you set. (Recommended)</p>","<p><strong>Ana:</strong> Lista de artículos automáticamente con cualquier cantidad disponible.</p><p><strong>Más o Igual:</strong> Lista de artículos automáticamente si la Cantidad de acuerdo a la Política de Venta es al menos igual al número que has establecido. (Recomendado)</p>"
"Advanced Conditions","Condiciones avanzadas"
"<p>Define Magento Attribute value(s) based on which a product must be listed on the Channel.<br> Once both List Conditions and Advanced Conditions are met, the product will be listed.</p>","<p>Define los valores de los atributos de Magento con base en los cuales un producto debe ser listado en el Canal.<br> Una vez que se cumplan tanto las Condiciones de Lista como las Condiciones Avanzadas, el producto será listado.</p>"
"Please be very thoughtful before enabling this option as this functionality can have a negative impact on the Performance of your system.<br> It can decrease the speed of running in case you have a lot of Products with the high number of changes made to them.","Por favor, considere detenidamente antes de habilitar esta opción, ya que esta funcionalidad puede tener un impacto negativo en el rendimiento de su sistema.<br> Podría reducir la velocidad de ejecución en caso de que tenga muchos productos con un gran número de cambios realizados en ellos."
"Mode","Modo"
"<p>If <strong>Relist Action</strong> is enabled, M2E TikTok Shop Connect will relist Items that have been stopped or finished on TikTok Shop if they meet the Conditions you set. (Relist Action will not list Items that have not been Listed yet)</p><br><p>If the automatic relisting doesn't work (usually because of the errors returned from TikTok Shop), M2E TikTok Shop Connect will attempt to list the Item again only if there is ' . ""a change of Product Status, Stock Availability or Quantity in Magento.</p><br>"" . '<p>More detailed information about how to work with this Page you can find <a href=""%url"" target=""_blank"" class=""external-link"">here</a>.</p>","<p>Si se habilita la <strong>Acción de Relistar</strong>, M2E TikTok Shop Connect volverá a listar los artículos que hayan sido detenidos o finalizados en TikTok Shop si cumplen con las condiciones que ha establecido. (La Acción de Relistar no listará artículos que no hayan sido listados previamente)</p><br><p>Si el relistado automático no funciona (generalmente debido a errores devueltos por TikTok Shop), M2E TikTok Shop Connect intentará listar el artículo nuevamente solo si hay un cambio en el estado del producto, la disponibilidad de stock o la cantidad en Magento.</p><br><p>Puede encontrar más información detallada sobre cómo trabajar con esta página <a href=""%url"" target=""_blank"" class=""external-link"">aquí</a>.</p>"
"Relist Action","Acción Relist"
"Choose whether you want to Relist Items covered by M2E TikTok Shop Connect Listings using this Policy if the Relist Conditions are met.","Elija si desea volver a poner en venta los artículos cubiertos por los anuncios de M2E TikTok Shop Connect utilizando esta Política si se cumplen las Condiciones para Volver a Poner en Venta."
"Relist When Stopped Manually","Volver a listar cuando se detiene manualmente"
"Choose whether you want the Automatic Relist Rules to Relist Items even if they've been Stopped manually.","Elija si desea que las Reglas de Relistas Automáticas para Relistar Artículos incluso si han sido detenidas manualmente."
"Relist Conditions","Condiciones de relista"
"<p><strong>Enabled:</strong> Relist Items on TikTok Shop automatically if they have status Enabled in Magento Product. (Recommended)</p><p><strong>Any:</strong> Relist Items on TikTok Shop automatically with any Magento Product status.</p>","<p><strong>Habilitado:</strong> Volver a listar artículos en TikTok Shop automáticamente si tienen estado Habilitado en el producto de Magento. (Recomendado)</p><p><strong>Cualquiera:</strong> Volver a listar artículos en TikTok Shop automáticamente con cualquier estado de producto de Magento.</p>"
"<p><strong>In Stock:</strong> Relist Items automatically if Products are in Stock. (Recommended)</p><p><strong>Any:</strong> Relist Items automatically regardless of Stock availability.</p>","<p><strong>En Stock:</strong> Volver a listar artículos automáticamente si los productos están en stock. (Recomendado)</p><p><strong>Cualquiera:</strong> Volver a listar artículos automáticamente independientemente de la disponibilidad de stock.</p>"
"Disabling this option might affect actual product data updates. Please read <a href=""%url"" target=""_blank"">this article</a> before disabling the option.","Deshabilitar esta opción podría afectar las actualizaciones de datos de productos actuales. Por favor, lee <a href=""%url"" target=""_blank"">este artículo</a> antes de deshabilitar la opción."
"<p><strong>Any:</strong> Relist Items automatically with any Quantity available.</p><p><strong>More or Equal:</strong> Relist Items automatically if the Quantity is at least equal to the number you set, according to the Selling Policy. (Recommended)</p>","<p><strong>Cualquiera:</strong> Volver a listar artículos automáticamente con cualquier cantidad disponible.</p><p><strong>Mayor o igual:</strong> Volver a listar artículos automáticamente si la cantidad es al menos igual al número que establezcas, de acuerdo con la política de venta. (Recomendado)</p>"
"<p>Define Magento Attribute value(s) based on which a product must be relisted on the Channel.<br>Once both Relist Conditions and Advanced Conditions are met, the product will be relisted.</p>","<p>Define el(los) valor(es) de atributo de Magento en función del cual un producto debe volver a listarse en el canal.<br>Una vez que se cumplan tanto las condiciones de re-listado como las condiciones avanzadas, el producto se volverá a listar.</p>"
"<p>Specify which Channel data should be automatically revised by M2E TikTok Shop Connect.</p><br> <p>Selected Item Properties will be automatically updated based on the changes in related Magento Attributes or Policy Templates.</p><br><p>More detailed information on how to work with this Page can be found <a href=""%url"" target=""_blank"" class=""external-link"">here</a>.</p>","<p>Especifique qué datos del canal deben ser revisados automáticamente por M2E TikTok Shop Connect.</p><br> <p>Las propiedades del artículo seleccionadas se actualizarán automáticamente en función de los cambios en los atributos de Magento o en las plantillas de políticas relacionadas.</p><br><p>Más información detallada sobre cómo trabajar con esta página se puede encontrar <a href=""%url"" target=""_blank"" class=""external-link"">aquí</a>.</p>"
"Revise Conditions","Revisar las condiciones"
"Automatically revises Item Quantity on TikTok Shop when Product Quantity, Magento Attribute used for Item Quantity or Custom Quantity value are modified in Magento or Policy Template. The Quantity management is the basic functionality the Magento-to-TikTok Shop integration is based on and it cannot be disabled.","Revisa automáticamente la cantidad del artículo en TikTok Shop cuando se modifica la cantidad del producto, el atributo de Magento utilizado para la cantidad del artículo o el valor de cantidad personalizada en Magento o en la plantilla de políticas. La gestión de la cantidad es la funcionalidad básica en la que se basa la integración de Magento con TikTok Shop y no se puede desactivar."
"Conditional Revise","Revisión condicional"
"Revise When Less or Equal to","Revisar cuando sea inferior o igual a"
"Set the Item Quantity limit at which the Revise Action should be triggered. It is recommended to keep this value relatively low, between 10 and 20 Items.","Establezca el límite de cantidad de artículos a partir del cual debe activarse la acción Revisar. Se recomienda mantener este valor relativamente bajo, entre 10 y 20 artículos."
"Automatically revises Item Price on TikTok Shop when Product Price, Special Price or Magento Attribute used for Item Price are modified in Magento or Policy Template.","Revisa automáticamente el precio del artículo en TikTok Shop cuando el precio del producto Precio especial o atributo Magento utilizado para el precio del artículo se modifican en Magento o Plantilla de Política."
"Automatically revises Item Title on TikTok Shop when Product Name, Magento Attribute used for Item Title or Custom Title value are modified in Magento or Policy Template.","Revisa automáticamente el Título del Artículo en TikTok Shop cuando el nombre del producto, el atributo de Magento utilizado para el título del artículo o el valor del título personalizado se modifican en Magento o en la plantilla de política."
"Automatically revises Item Description on TikTok Shop when Product Description, Product Short Description or Custom Description value are modified in Magento or Policy Template.","Revisa automáticamente la Descripción del Artículo en la Tienda TikTok cuando la Descripción del Producto, la Descripción Corta del Producto o la Descripción Personalizada son modificadas en Magento o en la Plantilla de Políticas."
"Automatically revises Item Image(s) on TikTok Shop when Product Image(s) or Magento Attribute used for Product Image(s) are modified in Magento or Policy Template.","Revisa automáticamente la(s) Imagen(es) del Artículo en la Tienda TikTok cuando la(s) Imagen(es) del Producto o el Atributo Magento usado para la(s) Imagen(es) del Producto son modificados en Magento o en la Plantilla de Política."
"Categories / Attributes","Categorías / Atributos"
"Automatically revises Item Categories/Attributes on TikTok Shop when Categories/Attributes data or Magento Attributes used for Categories/Attributes are modified.","Revisa automáticamente Categorías/Atributos en TikTok tienda cuando se modifican los datos de Categorías/Atributos de atributos o atributos de Magento utilizados para Categorías/Atributos."
"<br/>Disabling this option might affect synchronization performance. Please read <a href=""%url"" target=""_blank"">this article</a> before using the option.","<br/>Deshabilitar esta opción podría afectar el rendimiento de la sincronización. Por favor, lea <a href=""%url"" target=""_blank"">este artículo</a> antes de usar la opción."
"Set the Conditions when M2E TikTok Shop Connect should stop Listings on TikTok Shop.<br/><br/>If all Conditions are set to No or No Action then no TikTok Shop Items using this Synchronization Policy will be Stopped. If all Options are enabled, then an Item will be Stopped if at least one of the Stop Conditions is met.<br/><br/>More detailed information about ability to work with this Page you can find <a href=""%url"" target=""_blank"" class=""external-link"">here</a>.","Here’s the translated text in Spanish:

Establezca las condiciones bajo las cuales M2E TikTok Shop Connect debe detener las publicaciones en TikTok Shop.<br/><br/>Si todas las condiciones están configuradas en No o No Acción, entonces no se detendrán los artículos de TikTok Shop que utilicen esta política de sincronización. Si todas las opciones están habilitadas, entonces un artículo se detendrá si se cumple al menos una de las condiciones de detención.<br/><br/>Más información detallada sobre cómo trabajar con esta página puede encontrarse <a href=""%url"" target=""_blank"" class=""external-link"">aquí</a>."
"Stop Action","Detener Acción"
"Enable to automatically stop the Item(s) when the Stop Conditions are met.","Activar para detener automáticamente el(los) artículo(s) cuando se cumplen las condiciones de paro."
"Stop Conditions","Parar condiciones"
"Stop When Status Disabled","Detener cuando el estado está desactivado"
"Automatically stops an Item that is on TikTok Shop if Status is changed to 'Disabled' in Magento.","Detiene automáticamente un objeto que está en TikTok tienda si el estado se cambia a 'Desactivado' en Magento."
"Stop When Out Of Stock","Detener cuando se agote de existencias"
"Automatically stops an Item that is on TikTok Shop if Stock Availability is changed to 'Out of Stock' in Magento.","Detener automáticamente un objeto que está en TikTok tienda si la disponibilidad de existencias se cambia a 'Fuera de la Existencia' en Magento."
"Stop When Quantity Is","Parar cuando la cantidad es"
"No Action","Sin acción"
"Less or Equal","Menor o igual"
"Automatically stops an Item on TikTok Shop if Quantity according to the Selling Policy is changed <b>and</b> it meets the selected Conditions.","Detiene automáticamente un objeto en TikTok si la cantidad de acuerdo a la política de venta se cambia <b>y</b> cumple con las condiciones seleccionadas."
"<p>Define Magento Attribute value(s) based on which a product must be stopped on the Channel.<br> Once at least one Stop or Advanced Condition is met, the product will be stopped.</p>","<p>Defina el/los valor(es) del atributo de Magento en función del cual un producto debe ser detenido en el canal.<br> Una vez que se cumpla al menos una condición de detención o avanzada, el producto será detenido.</p>"
"Stop When Meet","Detener cuando se reúna"
"Step","Paso"
"Completed","Completado"
"Installation Wizard is completed. If you can't proceed, please contact us at <a href=""mailto:%mail"">%mail</a>.","El asistente de instalación se ha completado. Si no puede continuar, póngase en contacto con nosotros en <a href=""mailto:%mail"">%mail</a>."
"M2E TikTok Shop Connect requires activation for further work. To activate your installation, you should obtain a <strong>License Key</strong>. For more details, please read our <a href=""%1"" target=""_blank"">Privacy Policy</a>.<br/><br/> Fill out the form below with the required information. This information will be used to register you on <a href=""%2"" target=""_blank"">M2E Accounts</a> and auto-generate a new License Key.<br/><br/> Access to <a href=""%2"" target=""_blank"">M2E Accounts</a> will allow you to manage your Subscription, keep track of your Trial and Paid terms, control your License Key details, and more.","M2E TikTok Shop Connect requiere activación para seguir trabajando. Para activar su instalación, debe obtener una <strong>Clave de Licencia</strong>. Para más detalles, por favor lea nuestra <a href=""%1"" target=""_blank"">Política de Privacidad</a>.<br/><br/> Complete el formulario a continuación con la información requerida. Esta información se utilizará para registrarlo en <a href=""%2"" target=""_blank"">Cuentas M2E</a> y generar automáticamente una nueva Clave de Licencia.<br/><br/> El acceso a <a href=""%2"" target=""_blank"">Cuentas M2E</a> le permitirá gestionar su Suscripción, realizar un seguimiento de sus plazos de Prueba y Pagados, controlar los detalles de su Clave de Licencia, y más."
"Terms and Privacy","Condiciones y Privacidad"
"not selected","no seleccionado"
"Module Registration","Registro de Módulos"
"Account Onboarding","Incorporación de la cuenta"
"Step 3","Paso 3"
"Step 4","Paso 4"
"First Listing Creation","Primera creación de la lista"
